260Bh  260  107    1    0    1    1    0.000000    0.628000
  1   0.000000  -1.0  0             0                            1 LE   100.0000 %A     
261Bh  261  107    1    0    1    1    8.100000    0.430000
  1   0.000000  -1.0  0   1.20E-02  0                            2 =     95.0000 %A      <     10.0000 %SF    
262Bh  262  107    2    0    1    1    6.945000    0.945000
  1   0.000000  -1.0  0   1.02E-01  0   +X                       1 LE   100.0000 %A     
  2   0.000000  -1.0  0   8.00E-03  0   +Y                       1 LE   100.0000 %A     
263Bh  263  107    1    0    1    1    7.900001    1.100000
  1   0.000000  -1.0  0             0                            0
264Bh  264  107    3    0    1    1    6.596000    1.311000
  1   0.000000  -1.0  0   4.40E-01  0                            1 LE   100.0000 %A     
  2   0.300000  -1.0  0             0                            0
  3   0.445000  -1.0  0             0                            0
265Bh  265  107    1    0    1    1    7.600000    1.400000
  1   0.000000  -1.0  0             0                            0
266Bh  266  107    1    0    1    1    6.400000    1.860000
  1   0.000000  -1.0  0   1.70E+00  0   +X                       1 AP   100.0000 %A     
267Bh  267  107    1    0    1    1    7.410000    2.090000
  1   0.000000  -1.0  0   1.70E+01  0   +X                       1 AP   100.0000 %A     
270Bh  270  107    1    0    1    1    5.350000    2.760000
  1   0.000000  -1.0  0             0   +X                       2 AP   100.0000 %A      ?      0.0000 %SF    
271Bh  271  107    1    0    1    1    6.620000    2.770000
  1   0.000000  -1.0  0             0   +X                       1 ?      0.0000 %A     
272Bh  272  107    1    0    1    1    5.410000    3.040000
  1   0.000000  -1.0  0   1.00E+01  0   +X                       1 AP   100.0000 %A     
274Bh  274  107    1    0    1    1    5.443000    3.358000
  1   0.000000  -1.0  0   5.40E+01  0   +X                       2 AP   100.0000 %A      ?      0.0000 %SF    
